GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US00601,00601,ZCTA5 00601,11507,1192,13283,2167,18491,3364,8183,1278
8600000US00602,00602,ZCTA5 00602,15511,1381,18694,1752,23644,1823,8689,1172
8600000US00603,00603,ZCTA5 00603,16681,903,20719,1164,28686,2372,11021,754
8600000US00606,00606,ZCTA5 00606,11648,2555,14871,2585,17857,5659,8624,1576
8600000US00610,00610,ZCTA5 00610,17751,1326,21509,1715,25428,2100,10465,1614
8600000US00612,00612,ZCTA5 00612,17208,928,20999,1257,30215,2544,9704,729
8600000US00616,00616,ZCTA5 00616,14490,1775,20123,3158,23375,5501,7109,2183
8600000US00617,00617,ZCTA5 00617,15645,1858,18465,1981,22554,5107,8756,1103
8600000US00622,00622,ZCTA5 00622,16784,3725,22963,5874,25148,3524,11278,3426
8600000US00623,00623,ZCTA5 00623,17134,1286,21509,2009,27646,3022,9544,1035
8600000US00624,00624,ZCTA5 00624,16764,1576,18476,1970,23590,2508,10524,1343
8600000US00627,00627,ZCTA5 00627,17206,1131,20911,2180,24982,2445,9222,1014
8600000US00631,00631,ZCTA5 00631,7948,2384,11500,8097,13472,8971,5938,3416
8600000US00637,00637,ZCTA5 00637,14877,2009,19311,2017,26333,4813,9099,1209
8600000US00638,00638,ZCTA5 00638,12486,1591,15317,1996,20731,2849,9081,857
8600000US00641,00641,ZCTA5 00641,16181,1135,20213,1426,24313,3625,9124,1380
8600000US00646,00646,ZCTA5 00646,27967,2845,33284,2722,42834,3673,14239,2630
8600000US00647,00647,ZCTA5 00647,13312,1518,15267,2156,17049,2527,9257,1587
8600000US00650,00650,ZCTA5 00650,15807,2806,18906,3942,21868,2042,10078,4253
8600000US00652,00652,ZCTA5 00652,19497,3248,22126,2990,24646,3318,11218,1639
8600000US00653,00653,ZCTA5 00653,13175,1241,14281,1173,17720,1990,6514,3317
8600000US00656,00656,ZCTA5 00656,14828,1185,16602,1918,22222,2605,10104,1436
8600000US00659,00659,ZCTA5 00659,18480,1377,23401,1873,28412,2193,10307,1163
8600000US00660,00660,ZCTA5 00660,20589,1855,25322,2265,28309,3828,10982,2077
8600000US00662,00662,ZCTA5 00662,16291,1151,18486,1621,24134,2413,9695,1476
8600000US00664,00664,ZCTA5 00664,15749,2186,20149,3319,22696,2802,8208,2563
8600000US00667,00667,ZCTA5 00667,12736,1431,14768,2079,17343,2816,9978,1676
8600000US00669,00669,ZCTA5 00669,12552,910,15455,1974,19936,2363,6854,909
8600000US00670,00670,ZCTA5 00670,13209,2709,17617,4595,21448,3864,5642,1772
8600000US00674,00674,ZCTA5 00674,18549,1510,23247,1200,29792,3147,10076,1121
8600000US00676,00676,ZCTA5 00676,14149,1250,16820,1447,23185,2535,7564,1191
8600000US00677,00677,ZCTA5 00677,17881,1513,20353,1686,24533,3433,9984,2093
8600000US00678,00678,ZCTA5 00678,15208,1427,17013,1359,19951,1942,9715,1275
8600000US00680,00680,ZCTA5 00680,14575,980,19695,1638,28090,1980,9088,702
8600000US00682,00682,ZCTA5 00682,15804,1432,21446,2190,34250,4025,6893,964
8600000US00683,00683,ZCTA5 00683,15198,1413,20835,2368,25772,2986,9874,1005
8600000US00685,00685,ZCTA5 00685,13840,1136,16922,1416,21519,1445,7736,821
8600000US00687,00687,ZCTA5 00687,17649,1387,19871,1287,24490,2999,9564,1322
8600000US00688,00688,ZCTA5 00688,14697,2294,18263,1513,20849,1863,9288,1139
